Plant Name,Features,Species,Description,Disease it helps to cure
Aloe Vera,Fleshy leaves, Succulent plant,"Aloe vera, is a succulent plant species of the genus Aloe, that grows wild in tropical climates around the world.","Digestive problems, skin problems"
Amalaki, Yellow-green fruits, Tree, "Amalaki is a tree that is known for its yellow-green fruits and is often used as a natural remedy to boost the immune system, support heart health, and reduce inflammation. Its fruits and leaves are also used as a natural remedy to improve digestion, promote hair growth, and reduce signs of aging.","Immune system, heart health, inflammation, digestion, hair growth, aging signs."
Agave,Fleshy leaves, Succulent plant, Agave is a succulent plant species that is known for its fleshy leaves and is often used as a decorative plant. Its leaves and sap are also used as a natural remedy for digestive problems and to promote wound healing.,"Digestive problems, wound healing"
Astragalus, Purple or white flowers, Herb, "Astragalus is an herb that is known for its purple or white flowers and is often used as a natural remedy to boost the immune system, support heart health, and reduce inflammation. Its root is also used as a natural remedy to reduce fatigue and promote wound healing.","Immune system, heart health, inflammation, fatigue, wound healing"
Arnica, Yellow flowers, Herb, "Arnica is an herb that is known for its yellow flowers and is often used as a natural remedy to reduce inflammation and relieve pain caused by injuries, bruises, and arthritis. Its extracts are also used as a natural remedy to reduce skin irritation and promote hair growth.","Inflammation, pain relief, injuries, bruises, arthritis, skin irritation, hair growth"
Ashwagandha, Red berries, Herb, Ashwagandha is an herb that is known for its red berries and is often used as a natural remedy to reduce stress and anxiety. Its roots are also used as a natural remedy to support brain function and to reduce inflammation and oxidative stress.,"Stress, anxiety, brain function, inflammation, oxidative stress"
Burdock, Purple flowers, Herb, "Burdock is an herb that is known for its purple flowers and is often used as a natural remedy to support liver health, reduce inflammation, and promote healthy skin. Its roots are also used as a natural remedy to reduce high blood sugar levels and to promote digestive health.","Liver health, inflammation, healthy skin, high blood sugar levels, digestive health"
Bayberry, Green berries, Shrub, "Bayberry is a shrub that is known for its green berries and is often used as a natural remedy to reduce inflammation, promote wound healing, and support respiratory health. Its extracts are also used as a natural remedy to reduce diarrhea and to support healthy digestion.","Inflammation, wound healing, respiratory health, diarrhea, healthy digestion"
Boswellia, White or pale pink flowers, Tree, "Boswellia is a tree that is known for its white or pale pink flowers and is often used as a natural remedy to reduce inflammation, support joint health, and promote healthy aging. Its extracts are also used as a natural remedy to reduce asthma symptoms and to support overall health and wellness.","Inflammation, joint health, healthy aging, asthma symptoms, overall health."
Bacopa, White or blue flowers, Herb, Bacopa is an herb that is known for its white or blue flowers and is often used as a natural remedy to support brain function and to reduce anxiety and stress. Its leaves are also used as a natural remedy to reduce inflammation and to promote wound healing.,"Brain function, anxiety, stress, inflammation, wound healing"
Bilberry, Blue berries, Shrub, Bilberry is a shrub that is known for its blue berries and is often used as a natural remedy to improve eyesight and to reduce inflammation. Its berries are also used as a natural remedy to support heart health and to reduce high blood pressure and cholesterol levels.,"Eyesight, inflammation, heart health, high blood pressure, cholesterol levels"
Basil,Aromatic leaves,Herb, Basil is a popular culinary herb known for its fragrant leaves and intense flavor. It is commonly used in Italian cuisine and is an essential ingredient in pesto sauce.,"Headache, stress, "
Cat's Claw, Yellow flowers, Vine, Cat's Claw is a vine that is known for its yellow flowers and is often used as a natural remedy to boost immune system function and to reduce inflammation. Its bark and roots are also used as a natural remedy to reduce joint pain and to support digestion.,"Immune system function, inflammation, joint pain, digestion"
Cascara Sagrada, Yellow flowers, Tree,"Cascara sagrada is a tree that is known for its yellow flowers and is often used as a natural remedy to support healthy bowel movements, reduce constipation, and promote liver health. Its extracts are also used as a natural remedy to reduce inflammation and to support overall health and wellness.","Bowel movements, constipation, liver health, inflammation, overall health"
Calendula, Yellow or orange flowers, Herb, "Calendula is an herb that is known for its yellow or orange flowers and is often used as a natural remedy to reduce inflammation, promote wound healing, and support healthy skin. Its extracts are also used as a natural remedy to reduce menstrual cramps and to promote digestive health.","Inflammation, wound healing, healthy skin, menstrual cramps, digestive health"
Clove, Pink flower buds, Tree, "Clove is a tree that is known for its pink flower buds and is often used as a natural remedy to reduce inflammation, support oral health, and improve digestion. Its extracts are also used as a natural remedy to reduce toothache and to support overall health and wellness.","Inflammation, oral health, digestion, toothache, overall health"
Celandine, Yellow flowers, Herb, "Celandine is an herb that is known for its yellow flowers and is often used as a natural remedy to reduce inflammation, promote liver health, and support healthy digestion. Its extracts are also used as a natural remedy to reduce skin irritation and to promote wound healing.","Inflammation, liver health, digestion, skin irritation, wound healing"
Comfrey, Purple or blue flowers, Herb, "Comfrey is an herb that is known for its purple or blue flowers and is often used as a natural remedy to reduce inflammation, promote bone and joint health, and support skin health. Its extracts are also used as a natural remedy to reduce muscle pain and to support overall health and wellness.","Inflammation, bone and joint health, skin health, muscle pain, overall health"
Coriander, White or pink flowers, Herb, "Coriander is an herb that is known for its white or pink flowers and is often used as a natural remedy to reduce inflammation, support digestive health, and improve skin health. Its extracts are also used as a natural remedy to reduce menstrual cramps and to support overall health and wellness.","Inflammation, digestive health, skin health, menstrual cramps, overall health"
